Casa,Evento,Aposta,Odd,Data
ApostaTudo,Barcelona vs Real Sociedad - 02/03 | 17:15,Raphinha para tocar na bola a qualquer momento,2.0,2025-03-01 18:10:52
ApostaTudo,Manchester United vs Fulham - 02/03 | 18:30,Menos de 6.5 Gols na partida,2.0,2025-03-01 18:10:53
ApostaTudo,Santos x Bragantino - 03/03 | 01:45,Neymar para tocar na bola a qualquer momento,2.0,2025-03-01 18:10:53
Faz1Bet,Santos - Red Bull Bragantino SP,Neymar Jr e Guilherme Augusto dão mais de 1.5 chutes ao gol cada.,5.25,2025-03-01 18:12:28
Faz1Bet,Barcelona - Real Sociedad,"Vencedor da partida: Barcelona, ambos os times marcam e Robert Lewandowski dá mais de 1.5 chutes ao gol.",5.25,2025-03-01 18:12:29
Faz1Bet,Fluminense RJ - Volta Redonda RJ,Vencedor da partida: Fluminense e mais de 9.5 escanteios na partida.,2.75,2025-03-01 18:12:30
BetFast,Corinthians SP - Mirassol SP,"Vencedor da partida: Corinthians, ambos os times marcam e Memphis Depay dá mais de 1.5 chutes ao gol.",6.5,2025-03-01 18:13:35
BetFast,Sao Bernardo FC - Palmeiras,"Vencedor da partida: Corinthians, ambos os times marcam e Memphis Depay dá mais de 1.5 chutes ao gol.",6.5,2025-03-01 18:13:36
BetFast,Santos - Red Bull Bragantino SP,"Vencedor da partida: Corinthians, ambos os times marcam e Memphis Depay dá mais de 1.5 chutes ao gol.",6.5,2025-03-01 18:13:38
BetFast,Fluminense RJ - Volta Redonda RJ,"Vencedor da partida: Corinthians, ambos os times marcam e Memphis Depay dá mais de 1.5 chutes ao gol.",6.5,2025-03-01 18:13:42
BetFast,Barcelona - Real Sociedad,"Vencedor da partida: Corinthians, ambos os times marcam e Memphis Depay dá mais de 1.5 chutes ao gol.",6.5,2025-03-01 18:13:44
BetFast,Milan - Lazio,"Vencedor da partida: Corinthians, ambos os times marcam e Memphis Depay dá mais de 1.5 chutes ao gol.",6.5,2025-03-01 18:13:48
